                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66696,                0.46351,                 1.0445,                0.96149,                0.97257,                0.99084,                 0.8489,                0.63662,                0.34345,                 1.0287,             0.00054478,             0.00054478,             0.00054478
                     36,                0.66732,                0.46101,                 1.0423,                0.97652,                0.98382,                0.99099,                0.86616,                0.60444,                 0.3178,                 1.0257,             0.00051177,             0.00051177,             0.00051177
                     37,                0.66046,                0.45277,                  1.042,                0.98356,                0.98467,                0.99233,                0.85711,                0.63333,                0.31884,                 1.0402,             0.00047876,             0.00047876,             0.00047876
                     38,                0.64904,                 0.4435,                 1.0351,                0.97818,                0.98006,                0.99269,                0.86219,                0.59978,                0.31522,                 1.0089,             0.00044576,             0.00044576,             0.00044576
                     39,                0.63701,                0.43716,                 1.0349,                0.98558,                0.98453,                 0.9938,                0.86841,                0.58755,                0.30631,                0.99921,             0.00041275,             0.00041275,             0.00041275
                     40,                0.63624,                0.42592,                 1.0268,                0.98569,                0.97743,                0.99264,                0.86118,                0.62133,                0.31415,                 1.0168,             0.00037974,             0.00037974,             0.00037974
                     41,                0.50624,                0.29105,                0.94594,                0.99038,                0.98077,                0.99263,                0.86898,                0.61314,                0.30858,                 1.0218,             0.00034674,             0.00034674,             0.00034674
                     42,                0.49881,                0.28069,                0.93944,                0.98979,                0.97671,                0.99407,                0.86975,                0.60541,                0.30779,                 1.0144,             0.00031373,             0.00031373,             0.00031373
                     43,                0.48804,                0.26856,                0.92511,                0.97882,                0.98163,                0.99346,                0.87889,                0.57759,                0.30317,                0.99686,             0.00028072,             0.00028072,             0.00028072
                     44,                0.47893,                0.26498,                 0.9204,                0.99154,                0.97971,                0.99418,                0.88581,                  0.573,                0.29216,                0.98738,             0.00024772,             0.00024772,             0.00024772
                     45,                 0.4689,                0.25994,                0.91757,                0.99402,                0.97925,                  0.994,                0.88133,                0.59746,                0.29447,                 1.0012,             0.00021471,             0.00021471,             0.00021471
                     46,                0.46627,                 0.2521,                0.92304,                0.98091,                0.98376,                0.99419,                0.89013,                0.56591,                 0.2839,                0.99002,              0.0001817,              0.0001817,              0.0001817
                     47,                0.45312,                0.24525,                0.90942,                0.98535,                 0.9817,                0.99414,                0.88571,                0.56853,                0.28574,                0.99471,              0.0001487,              0.0001487,              0.0001487
                     48,                0.43614,                0.24163,                0.89898,                 0.9918,                0.97918,                0.99421,                0.88792,                0.57414,                0.28298,                0.99579,             0.00011569,             0.00011569,             0.00011569
                     49,                0.43419,                0.23686,                0.89687,                0.99516,                0.97598,                0.99422,                 0.8881,                0.56775,                0.27805,                0.99004,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.42704,                0.22863,                 0.8919,                0.99522,                0.97748,                0.99425,                0.89107,                0.57142,                0.27925,                0.99653,             4.9677e-05,             4.9677e-05,             4.9677e-05
